sl,language,artist,gender,location,local_song_index,song_name,source,location_id,artist_id,gender_id
187,Nagamese,David Konyak,Male,Nagaland,2,Kaun to christian,https://www.youtube.com/watch?v=z8TMZ3JIkpA,10,12,1
188,Nagamese,David Konyak,Male,Nagaland,3,Sapna hoisa,https://www.youtube.com/watch?v=mdE46TE87A0,10,12,1
189,Nagamese,David Konyak,Male,Nagaland,4,BEST NAGAMESE SONG,https://www.youtube.com/watch?v=CIQidnCg-Cc,10,12,1
190,Nagamese,David Konyak,Male,Nagaland,5,Moram Kora PapaAma,https://www.youtube.com/watch?v=vp7m64eGm14,10,12,1
191,Nagamese,Tetseo Sisters,Female,Nagaland,1,O Rhosi,https://www.youtube.com/watch?v=hCH9Dx2tn_s,10,62,0
192,Nagamese,Tetseo Sisters,Female,Nagaland,2,Hiyo,https://www.youtube.com/watch?v=JxUmMA9LsK8,10,62,0
193,Nagamese,Tetseo Sisters,Female,Nagaland,3,Naga folk song,https://www.youtube.com/watch?v=7ijkTAYdUSg,10,62,0
194,Nagamese,Tetseo Sisters,Female,Nagaland,4,Rinyielu Lizo,https://www.youtube.com/watch?v=RZUhqqu9oOo,10,62,0
195,Nagamese,Tetseo Sisters,Female,Nagaland,5,M�rinul� Lizo ,https://www.youtube.com/watch?v=RpalPYEyNuo,10,62,0
196,Nagamese,Mengu Suokhrie,Female,Nagaland,1,Adaad Notun,https://www.youtube.com/watch?v=Biv03SXyypc,10,34,0
197,Nagamese,Mengu Suokhrie,Female,Nagaland,2,Music of Nagaland Mengu Suokhrie Adielo,https://www.youtube.com/watch?v=1Xd6HCUXCkA,10,34,0
198,Nagamese,Mengu Suokhrie,Female,Nagaland,3,A KechaMengu,https://www.youtube.com/watch?v=JTRB_SGMAVs,10,34,0
199,Nagamese,Mengu Suokhrie,Female,Nagaland,4,Kenei Thenou Kenei,https://www.youtube.com/watch?v=1fFb4j5ZF9c,10,34,0
200,Nagamese,Mengu Suokhrie,Female,Nagaland,5,Mengu suokhrie  Adaad Notun,https://www.youtube.com/watch?v=xUrdLfKrcaE,10,34,0
201,Manipuri,Nongmaithem Pahari,Male,Manipur,1,Nuja Kanagi Chenglouno,https://www.youtube.com/watch?v=pmnOyUlY3z4,8,38,1
202,Manipuri,Nongmaithem Pahari,Male,Manipur,2,Ningshingli Meragi,https://www.youtube.com/watch?v=gnDuYFGZRT4,8,38,1
203,Manipuri,Nongmaithem Pahari,Male,Manipur,3,Nangi Maithong Urubada,https://www.youtube.com/watch?v=Bgg_OVum-aM,8,38,1
204,Manipuri,Nongmaithem Pahari,Male,Manipur,4,Lakle Ngashisu,https://www.youtube.com/watch?v=Tcni4-Quoc0,8,38,1
205,Manipuri,Nongmaithem Pahari,Male,Manipur,5,Kru Ku Ku Khongli,https://www.youtube.com/watch?v=lcYctfh9XJY,8,38,1
206,Manipuri,B. Kunjabihari Sharma,Male,Manipur,1,Punshisina Ahanba,https://www.youtube.com/watch?v=-maf9xb5tYg,8,9,1
207,Manipuri,B. Kunjabihari Sharma,Male,Manipur,2,Naksinnaba yaadrabamp,https://www.youtube.com/watch?v=R0h1Kwlsuj4,8,9,1
208,Manipuri,B. Kunjabihari Sharma,Male,Manipur,3,Dolai Thakta Phamlaga Ningamdana kaplibi,https://www.youtube.com/watch?v=3_k_4RzQT78,8,9,1
209,Manipuri,B. Kunjabihari Sharma,Male,Manipur,4,Unani khanna laakpanimp,https://www.youtube.com/watch?v=5hxyl3SrgBU,8,9,1
210,Manipuri,B. Kunjabihari Sharma,Male,Manipur,5,Matam Amagi Chanabi,https://www.youtube.com/watch?v=tHLHxhMr800,8,9,1
211,Manipuri,Pinky Saikhom,Female,Manipur,1,Shiroi Lily,https://www.youtube.com/watch?v=Glz9T3t4ZAk,8,40,0
212,Manipuri,Pinky Saikhom,Female,Manipur,2,Kijeine Kijeine,https://www.youtube.com/watch?v=g06hjFfmeyw,8,40,0
213,Manipuri,Pinky Saikhom,Female,Manipur,3,Khoyum Magi Khusemlakta,https://www.youtube.com/watch?v=e-jwD2m0Q7A,8,40,0
214,Manipuri,Pinky Saikhom,Female,Manipur,4,LEINAMNA LEIKAI,https://www.youtube.com/watch?v=L4DeVrZmiWk,8,40,0
215,Manipuri,Pinky Saikhom,Female,Manipur,5,Keibul Gee Sangai,https://www.youtube.com/watch?v=Zp-q_ZQ_GH4,8,40,0
216,Manipuri,Pushparani,Female,Manipur,1,KHOIRANG E PUKNINGSE,https://www.youtube.com/watch?v=G82wLzAqCZQ,8,41,0
217,Manipuri,Pushparani,Female,Manipur,2,Leibiyu Nangna,https://www.youtube.com/watch?v=5NF8lChbe38,8,41,0
218,Manipuri,Pushparani,Female,Manipur,3,Kejeine ei d nungshigee meichak,https://www.youtube.com/watch?v=d3u9eQHlj8M,8,41,0
219,Manipuri,Pushparani,Female,Manipur,4,Nangse Eigini,https://www.youtube.com/watch?v=hbJgLwdUwSk,8,41,0
220,Manipuri,Pushparani,Female,Manipur,5,Nungshiba Nangi  Keifa  Kajal,https://www.youtube.com/watch?v=s15OuvIelHo,8,41,0
221,Khasi and Jayantia,George Shadap,Male,Meghalaya,1,HANGNE NGA DON,https://www.youtube.com/watch?v=hNcYNmDVIAQ,9,18,1
222,Khasi and Jayantia,George Shadap,Male,Meghalaya,2,KA RUKOM,https://www.youtube.com/watch?v=jcEcuoyfhG8,9,18,1
223,Khasi and Jayantia,George Shadap,Male,Meghalaya,3,Genevieve Nongrum and George Shadap   KA RUKOM,https://www.youtube.com/watch?v=M25yqfx30_s,9,18,1
224,Khasi and Jayantia,George Shadap,Male,Meghalaya,4,Ka Rukom,https://www.youtube.com/watch?v=699V6egdlEw,9,18,1
225,Khasi and Jayantia,George Shadap,Male,Meghalaya,5,Kynjah ia phi,https://www.youtube.com/watch?v=y3R1t-w5yfc,9,18,1
226,Khasi and Jayantia,Wanshankupar Suchiang,Male,Meghalaya,1,Burom ia ka Bei,https://www.youtube.com/watch?v=mVbrxtNSgjQ,9,65,1
227,Khasi and Jayantia,Wanshankupar Suchiang,Male,Meghalaya,2,Hamee Tei Suchiang,https://www.youtube.com/watch?v=hWxEUuL4_3o,9,65,1
228,Khasi and Jayantia,Wanshankupar Suchiang,Male,Meghalaya,3,Du ha pha,https://www.youtube.com/watch?v=Ic3-Gh0T6as,9,65,1
229,Khasi and Jayantia,Wanshankupar Suchiang,Male,Meghalaya,4,U KAITOR UBA TBIT HA KA RWAI BAD HA KA THAW ?A KI JINGRWAI BA SNGEWTYNNAT,https://www.youtube.com/watch?v=GU5BH4c2vjU,9,65,1
230,Khasi and Jayantia,Wanshankupar Suchiang,Male,Meghalaya,5,Hapdeng Ki Syntiew,https://www.youtube.com/watch?v=LSqf7qNBfcE,9,65,1
231,Khasi and Jayantia,Rida Gatphoh,Female,Meghalaya,1,Sur Ka Mariang,https://www.youtube.com/watch?v=eCyIjpvea-k,9,47,0
232,Khasi and Jayantia,Rida Gatphoh,Female,Meghalaya,2,Rukom ka Ri The Many Lives of Land,https://www.youtube.com/watch?v=t5wicKY-UhY,9,47,0
233,Khasi and Jayantia,Rida Gatphoh,Female,Meghalaya,3,Earthy a Fair,https://www.youtube.com/watch?v=3XDsCpmvTW8,9,47,0
234,Khasi and Jayantia,Rida Gatphoh,Female,Meghalaya,4,Sacrifice,https://www.youtube.com/watch?v=j8Mp-A8n7r0,9,47,0
235,Khasi and Jayantia,Rida Gatphoh,Female,Meghalaya,5,Dhai Aakhar Naam,https://www.youtube.com/watch?v=BFkS3_plQtU,9,47,0
236,Khasi and Jayantia,Soulmate,Female,Meghalaya,1,Tipriti Kharbangar Shad Pynnang Pynnang  Live Performance,https://www.youtube.com/watch?v=ByUiSyXa-WM,9,58,0
